"sparse","N","T0","gamma","Measure","OLS","LSDV","EBMLE","URE","AH","GMM1","GMM2","LASSO","RIDGE","ELASTIC_NET"
0,100,20,0.8,"MSE",1.13481,1.09842,1.09859,1.09779,2.02647,1.85137,1.8514,1.12105,1.12271,1.12105
0,100,30,0.2,"Bias",0.02369,-0.00178,-0.00174,-0.00181,0.00031,0.00024,0.00147,0.03677,0.03737,0.03696
0,100,30,0.2,"Var",5.34234,6.2297,6.14119,6.14815,7.61107,7.59804,7.49794,5.87893,5.83382,5.87557
0,100,30,0.2,"MSE",1.83789,1.04552,1.04434,1.04445,2.00434,1.99609,1.97061,1.10846,1.10918,1.10853
0,100,30,0.8,"Bias",0.00352,-0.00182,-0.00129,-0.00234,0.0001,-0.00001,0.00054,0.01603,0.01499,0.01598
0,100,30,0.8,"Var",32.64058,32.67004,32.35707,32.43499,35.40333,35.26361,35.14569,32.75428,32.756,32.75407
0,100,30,0.8,"MSE",1.13976,1.06519,1.06415,1.06426,2.00409,1.91439,1.84743,1.11276,1.10648,1.11239
0.1,20,5,0.2,"Bias",-0.14368,0.10326,0.10357,0.103,-0.01461,-0.00345,-0.00037,0.25334,0.24548,0.25265
0.1,20,5,0.2,"Var",4.48193,4.68234,4.23257,4.25787,6.05525,6.09337,6.09848,4.38983,4.36777,4.38743
0.1,20,5,0.2,"MSE",1.82444,1.38875,1.33872,1.33995,2.1098,2.24772,2.26393,1.77791,1.75189,1.77509
0.1,20,5,0.8,"Bias",-0.02086,0.14043,0.19228,0.11751,0.03945,0.1825,0.19165,0.07463,0.07262,0.07463
0.1,20,5,0.8,"Var",22.74394,22.55565,19.54289,21.44394,27.01371,25.09718,25.19343,23.03821,23.05696,23.0383
0.1,20,5,0.8,"MSE",1.20775,1.36824,1.46929,1.37624,4.43787,3.61371,3.79663,1.19923,1.20041,1.19921
0.1,20,10,0.2,"Bias",-0.08723,0.01072,0.01044,0.011,-0.00539,-0.00506,-0.005,-0.08749,-0.07433,-0.08696
0.1,20,10,0.2,"Var",4.39968,4.14233,4.0005,4.01116,5.46656,5.39233,5.38397,4.32438,4.34731,4.32491
0.1,20,10,0.2,"MSE",1.51382,1.16135,1.14344,1.14375,2.03718,1.99126,1.99509,1.38568,1.36677,1.38401
0.1,20,10,0.8,"Bias",-0.04106,0.04528,0.04837,0.04057,-0.00291,0.02125,0.02228,-0.03429,-0.03538,-0.03423
0.1,20,10,0.8,"Var",17.45509,17.62876,16.17149,17.04374,20.73896,19.38286,19.38451,17.4623,17.47286,17.46241
0.1,20,10,0.8,"MSE",1.13721,1.22138,1.21125,1.2103,2.85887,1.56834,1.56609,1.12811,1.12818,1.12809
