"sparse","N","T0","gamma","Measure","OLS","LSDV","EBMLE","URE","AH","GMM1","GMM2","LASSO","RIDGE","ELASTIC_NET"
0.8,20,20,0.8,"Bias",-0.00352,0.10597,0.10597,0.10597,0.00138,0.08838,0.49758,-0.00764,-0.00662,-0.00764
0.8,20,20,0.8,"Var",0.00088,0.00163,0.00163,0.00163,0.01158,0.00332,0.06791,0.00086,0.00085,0.00086
0.8,20,20,0.8,"MSE",0.0009,0.01286,0.01286,0.01286,0.01159,0.01113,0.31549,0.00091,0.0009,0.00091
